city,date,energy_usage
Chicago,2025-07-17,1066
Chicago,2025-07-17,-1197
Chicago,2025-07-16,2236630
Chicago,2025-07-16,2243391
Chicago,2025-07-16,2247719
Chicago,2025-07-16,2239769
Chicago,2025-07-16,2236630
Chicago,2025-07-16,2325223
Chicago,2025-07-16,2327699
Chicago,2025-07-16,2329613
Chicago,2025-07-16,2326386
Chicago,2025-07-16,2325223
Chicago,2025-07-16,2254008
Chicago,2025-07-16,2260598
Chicago,2025-07-16,2265499
Chicago,2025-07-16,2256862
Chicago,2025-07-16,2254008
Chicago,2025-07-16,-32439
Chicago,2025-07-16,-33119
Chicago,2025-07-16,-32524
Chicago,2025-07-16,-32872
Chicago,2025-07-16,-32439
Chicago,2025-07-15,2283306
Chicago,2025-07-15,2278654
Chicago,2025-07-15,2276523
Chicago,2025-07-15,2280941
Chicago,2025-07-15,2283306
Chicago,2025-07-15,2338701
